iata,city,country,latitude,longitude
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
3257,,Romania,46.0,25.0
3257,,Ireland,53.3472,-6.2439
37100,Marseille,France,43.2951,5.3861
37100,,Mauritius,-20.2833,57.55
37100,,Mauritius,-20.2833,57.55
37100,Maputo,Mozambique,-25.9653,32.5892
37100,Maputo,Mozambique,-25.9653,32.5892
31960,Maputo,Mozambique,-25.9653,32.5892
31960,Maputo,Mozambique,-25.9653,32.5892
8346,,Senegal,14.0,-14.0
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
6453,,,47.0,8.0
6453,,,47.0,8.0
8657,,Portugal,38.7139,-9.1394
29614,Accra,Ghana,5.5502,-0.2174
327947,,Ghana,8.0,-2.0
327947,Kumasi,Ghana,6.6833,-1.6167
327947,Kumasi,Ghana,6.6833,-1.6167
8346,,Senegal,14.0,-14.0
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
5511,,France,48.8582,2.3387000000000002
5511,,France,48.8582,2.3387000000000002
5511,,France,48.8582,2.3387000000000002
1273,,United Kingdom,51.4964,-0.1224
1273,,United Kingdom,51.4964,-0.1224
29614,,Ghana,8.0,-2.0
29614,,Ghana,8.0,-2.0
37074,Accra,Ghana,5.5502,-0.2174
37074,Accra,Ghana,5.5502,-0.2174
37074,,Ghana,8.0,-2.0
8346,,Senegal,14.0,-14.0
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
174,,,47.0,8.0
174,,United States,37.751,-97.822
174,,,47.0,8.0
174,,,47.0,8.0
174,,,47.0,8.0
174,,United States,37.751,-97.822
174,,,47.0,8.0
174,,United States,37.751,-97.822
20965,,United Kingdom,51.4964,-0.1224
21320,,United Kingdom,51.4964,-0.1224
3208,,Algeria,36.7642,3.1468
3208,,Algeria,36.7642,3.1468
8346,,Senegal,14.0,-14.0
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
174,,,47.0,8.0
174,,United States,37.751,-97.822
174,,United States,37.751,-97.822
174,,,47.0,8.0
174,,,47.0,8.0
174,,United States,37.751,-97.822
174,,,47.0,8.0
174,,United States,37.751,-97.822
20965,,United Kingdom,51.4964,-0.1224
21320,,United Kingdom,51.4964,-0.1224
3208,,Algeria,36.7642,3.1468
8346,,Senegal,14.0,-14.0
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6762,,Italy,43.1479,12.1097
6762,,Italy,43.1479,12.1097
36884,,Morocco,32.0,-5.0
30983,,Morocco,32.0,-5.0
8346,,Senegal,14.0,-14.0
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,United States,37.751,-97.822
6453,,United States,37.751,-97.822
6453,,United States,37.751,-97.822
6453,,United States,37.751,-97.822
53589,Laval,Canada,45.578,-73.8004
53589,Laval,Canada,45.578,-73.8004
53589,Laval,Canada,45.578,-73.8004
8346,,Senegal,14.0,-14.0
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
174,,,47.0,8.0
174,,United States,37.751,-97.822
174,,United States,37.751,-97.822
174,,,47.0,8.0
174,,,47.0,8.0
174,,United States,37.751,-97.822
174,,United States,37.751,-97.822
174,,United States,37.751,-97.822
174,Dulwich,United Kingdom,51.456,-0.0611
36944,,South Africa,-29.0,24.0
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
8346,,Senegal,14.0,-14.0
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
174,,,47.0,8.0
174,,United States,37.751,-97.822
174,,,47.0,8.0
174,,,47.0,8.0
174,,,47.0,8.0
174,,United States,37.751,-97.822
174,,United States,37.751,-97.822
174,,United States,37.751,-97.822
174,Dulwich,United Kingdom,51.456,-0.0611
36944,,South Africa,-29.0,24.0
36944,,South Africa,-29.0,24.0
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
8346,,Senegal,14.0,-14.0
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
37282,,Nigeria,10.0,8.0
37282,Lagos,Nigeria,6.4474,3.3903
37170,Lagos,Nigeria,6.4474,3.3903
8346,,Senegal,14.0,-14.0
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
1273,,United Kingdom,51.4964,-0.1224
1273,,United Kingdom,51.4964,-0.1224
1273,,United Kingdom,51.4964,-0.1224
1273,,United Kingdom,51.4964,-0.1224
1273,Leeds,United Kingdom,53.7881,-1.6008
37148,Ilorin,Nigeria,8.5,4.55
37148,Benin City,Nigeria,6.335,5.6274999999999995
37148,Benin City,Nigeria,6.335,5.6274999999999995
37686,Zaria,Nigeria,11.1132,7.7252
8346,,Senegal,14.0,-14.0
