msmID,source,name,city,country,latitude,longitude,hops
www.uonbi.ac.ke,Kenya,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,9
www.uonbi.ac.ke,Kenya,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,11
www.uonbi.ac.ke,Kenya,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,11
www.unilag.edu.ng,Nigeria,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,9
www.unilag.edu.ng,Nigeria,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,9
www.unilag.edu.ng,Nigeria,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,11
www.abu.edu.ng,Nigeria,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,9
www.abu.edu.ng,Nigeria,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,15
www.abu.edu.ng,Nigeria,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,13
www.cu.edu.eg,Egypt,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,9
www.cu.edu.eg,Egypt,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,18
www.cu.edu.eg,Egypt,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,20
www.aucegypt.edu,Egypt,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,9
www.aucegypt.edu,Egypt,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,20
www.aucegypt.edu,Egypt,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,20
www.sua.ac.tz,Tanzania,8346 Autonomous System,,Senegal,14.0,-14.0,16
www.sua.ac.tz,Tanzania,327809 ARC-Informatique,,Senegal,14.0,-14.0,18
www.sua.ac.tz,Tanzania,8346 Autonomous System,,Senegal,14.0,-14.0,19
www.udsm.ac.tz,Tanzania,8346 Autonomous System,,Senegal,14.0,-14.0,17
www.udsm.ac.tz,Tanzania,327809 ARC-Informatique,,Senegal,14.0,-14.0,19
www.udsm.ac.tz,Tanzania,8346 Autonomous System,,Senegal,14.0,-14.0,20
www.up.ac.mz,Mozambique,8346 Autonomous System,,Senegal,14.0,-14.0,17
www.up.ac.mz,Mozambique,327809 ARC-Informatique,,Senegal,14.0,-14.0,16
www.up.ac.mz,Mozambique,8346 Autonomous System,,Senegal,14.0,-14.0,20
www.uem.mz,Mozambique,8346 Autonomous System,,Senegal,14.0,-14.0,17
www.uem.mz,Mozambique,327809 ARC-Informatique,,Senegal,14.0,-14.0,17
www.uem.mz,Mozambique,8346 Autonomous System,,Senegal,14.0,-14.0,20
www.knust.edu.gh,Ghana,8346 Autonomous System,,Senegal,14.0,-14.0,12
www.knust.edu.gh,Ghana,327809 ARC-Informatique,,Senegal,14.0,-14.0,21
www.knust.edu.gh,Ghana,8346 Autonomous System,,Senegal,14.0,-14.0,15
www.ug.edu.gh,Ghana,8346 Autonomous System,,Senegal,14.0,-14.0,15
www.ug.edu.gh,Ghana,327809 ARC-Informatique,,Senegal,14.0,-14.0,18
www.ug.edu.gh,Ghana,8346 Autonomous System,,Senegal,14.0,-14.0,18
www.univ-bejaia.dz,Algeria,8346 Autonomous System,,Senegal,14.0,-14.0,23
www.univ-bejaia.dz,Algeria,327809 ARC-Informatique,,Senegal,14.0,-14.0,22
www.univ-bejaia.dz,Algeria,8346 Autonomous System,,Senegal,14.0,-14.0,26
www.univ-tlemcen.dz,Algeria,8346 Autonomous System,,Senegal,14.0,-14.0,28
www.univ-tlemcen.dz,Algeria,327809 ARC-Informatique,,Senegal,14.0,-14.0,27
www.univ-tlemcen.dz,Algeria,8346 Autonomous System,,Senegal,14.0,-14.0,31
www.uca.ma,Morocco,8346 Autonomous System,,Senegal,14.0,-14.0,17
www.uca.ma,Morocco,327809 ARC-Informatique,,Senegal,14.0,-14.0,15
www.uca.ma,Morocco,8346 Autonomous System,,Senegal,14.0,-14.0,20
www.uaq.ma,Morocco,8346 Autonomous System,,Senegal,14.0,-14.0,16
www.uaq.ma,Morocco,327809 ARC-Informatique,,Senegal,14.0,-14.0,17
www.uaq.ma,Morocco,8346 Autonomous System,,Senegal,14.0,-14.0,19
www.ku.ac.ke,Kenya,8346 Autonomous System,,Senegal,14.0,-14.0,25
www.ku.ac.ke,Kenya,327809 ARC-Informatique,,Senegal,14.0,-14.0,21
www.ku.ac.ke,Kenya,8346 Autonomous System,,Senegal,14.0,-14.0,28
www.uonbi.ac.ke,Kenya,8346 Autonomous System,,Senegal,14.0,-14.0,20
www.uonbi.ac.ke,Kenya,327809 ARC-Informatique,,Senegal,14.0,-14.0,16
www.uonbi.ac.ke,Kenya,8346 Autonomous System,,Senegal,14.0,-14.0,23
www.unilag.edu.ng,Nigeria,8346 Autonomous System,,Senegal,14.0,-14.0,12
www.unilag.edu.ng,Nigeria,327809 ARC-Informatique,,Senegal,14.0,-14.0,17
www.unilag.edu.ng,Nigeria,8346 Autonomous System,,Senegal,14.0,-14.0,15
www.abu.edu.ng,Nigeria,8346 Autonomous System,,Senegal,14.0,-14.0,16
www.abu.edu.ng,Nigeria,327809 ARC-Informatique,,Senegal,14.0,-14.0,15
www.abu.edu.ng,Nigeria,8346 Autonomous System,,Senegal,14.0,-14.0,19
www.cu.edu.eg,Egypt,8346 Autonomous System,,Senegal,14.0,-14.0,17
www.cu.edu.eg,Egypt,327809 ARC-Informatique,,Senegal,14.0,-14.0,17
www.cu.edu.eg,Egypt,8346 Autonomous System,,Senegal,14.0,-14.0,20
www.aucegypt.edu,Egypt,8346 Autonomous System,,Senegal,14.0,-14.0,21
www.aucegypt.edu,Egypt,327809 ARC-Informatique,,Senegal,14.0,-14.0,15
www.aucegypt.edu,Egypt,8346 Autonomous System,,Senegal,14.0,-14.0,19
www.uwc.ac.za,SA,8346 Autonomous System,,Senegal,14.0,-14.0,22
www.uwc.ac.za,SA,327809 ARC-Informatique,,Senegal,14.0,-14.0,18
www.uwc.ac.za,SA,8346 Autonomous System,,Senegal,14.0,-14.0,25
www.uct.ac.za,SA,8346 Autonomous System,,Senegal,14.0,-14.0,26
www.uct.ac.za,SA,327809 ARC-Informatique,,Senegal,14.0,-14.0,22
www.uct.ac.za,SA,8346 Autonomous System,,Senegal,14.0,-14.0,29
www.sua.ac.tz,Tanzania,37286 NG-ICT-FORUM,,Nigeria,10.0,8.0,16
www.sua.ac.tz,Tanzania,37282 MAINONE,Lagos,Nigeria,6.4474,3.3903,13
www.sua.ac.tz,Tanzania,37661 NRaE1-AS,Lagos,Nigeria,6.4474,3.3903,13
www.udsm.ac.tz,Tanzania,37286 NG-ICT-FORUM,,Nigeria,10.0,8.0,9
www.udsm.ac.tz,Tanzania,37282 MAINONE,Lagos,Nigeria,6.4474,3.3903,12
www.udsm.ac.tz,Tanzania,37661 NRaE1-AS,Lagos,Nigeria,6.4474,3.3903,16
www.up.ac.mz,Mozambique,37282 MAINONE,Lagos,Nigeria,6.4474,3.3903,11
www.up.ac.mz,Mozambique,37286 NG-ICT-FORUM,,Nigeria,10.0,8.0,9
www.up.ac.mz,Mozambique,37661 NRaE1-AS,Lagos,Nigeria,6.4474,3.3903,18
www.uem.mz,Mozambique,37282 MAINONE,Lagos,Nigeria,6.4474,3.3903,12
www.uem.mz,Mozambique,37286 NG-ICT-FORUM,,Nigeria,10.0,8.0,17
www.uem.mz,Mozambique,37661 NRaE1-AS,Lagos,Nigeria,6.4474,3.3903,16
www.knust.edu.gh,Ghana,37282 MAINONE,Lagos,Nigeria,6.4474,3.3903,9
www.knust.edu.gh,Ghana,37286 NG-ICT-FORUM,,Nigeria,10.0,8.0,11
www.knust.edu.gh,Ghana,37661 NRaE1-AS,Lagos,Nigeria,6.4474,3.3903,11
www.ug.edu.gh,Ghana,37282 MAINONE,Lagos,Nigeria,6.4474,3.3903,9
www.ug.edu.gh,Ghana,37286 NG-ICT-FORUM,,Nigeria,10.0,8.0,11
www.ug.edu.gh,Ghana,37661 NRaE1-AS,Lagos,Nigeria,6.4474,3.3903,11
www.univ-bejaia.dz,Algeria,37282 MAINONE,Lagos,Nigeria,6.4474,3.3903,14
www.univ-bejaia.dz,Algeria,37286 NG-ICT-FORUM,,Nigeria,10.0,8.0,9
www.univ-bejaia.dz,Algeria,37661 NRaE1-AS,Lagos,Nigeria,6.4474,3.3903,22
www.univ-tlemcen.dz,Algeria,37282 MAINONE,Lagos,Nigeria,6.4474,3.3903,19
www.univ-tlemcen.dz,Algeria,37286 NG-ICT-FORUM,,Nigeria,10.0,8.0,9
www.univ-tlemcen.dz,Algeria,37661 NRaE1-AS,Lagos,Nigeria,6.4474,3.3903,27
www.uca.ma,Morocco,37286 NG-ICT-FORUM,,Nigeria,10.0,8.0,17
www.uca.ma,Morocco,37282 MAINONE,Lagos,Nigeria,6.4474,3.3903,12
www.uca.ma,Morocco,37661 NRaE1-AS,Lagos,Nigeria,6.4474,3.3903,16
