iata,name,city,country,latitude,longitude
36914,Kenya Education Network,,Kenya,1.0,38.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
11537,Internet2,,United States,37.751,-97.822
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
1200,Amsterdam Internet Exchange B.V.,,Netherlands,52.3824,4.8995
16509,Amazon.com, Inc.,Dublin,Ireland,53.3338,-6.2488
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
2018,TENET-1,,South Africa,-29.0,24.0
2018,TENET-1,,South Africa,-29.0,24.0
2018,TENET-1,,South Africa,-29.0,24.0
2018,TENET-1,Cape Town,South Africa,-33.9258,18.4259
2018,TENET-1,Bellville,South Africa,-33.9,18.6333
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
2018,TENET-1,,South Africa,-29.0,24.0
2018,TENET-1,,South Africa,-29.0,24.0
2018,TENET-1,,South Africa,-29.0,24.0
2018,TENET-1,,South Africa,-29.0,24.0
2018,TENET-1,,South Africa,-29.0,24.0
2018,TENET-1,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
22354,UNIV-DAR,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
36874,Cybersmart,Cape Town,South Africa,-33.9258,18.4259
36874,Cybersmart,Cape Town,South Africa,-33.9258,18.4259
37100,SEACOM-AS,Cape Town,South Africa,-33.9258,18.4259
37100,SEACOM-AS,,Mauritius,-20.2833,57.55
37100,SEACOM-AS,,Mauritius,-20.2833,57.55
37100,SEACOM-AS,Maputo,Mozambique,-25.9653,32.5892
37100,SEACOM-AS,Maputo,Mozambique,-25.9653,32.5892
37100,SEACOM-AS,,Mauritius,-20.2833,57.55
37100,SEACOM-AS,,Mauritius,-20.2833,57.55
37100,SEACOM-AS,Marseille,France,43.2951,5.3861
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
37662,WIOCC-AS,,Mauritius,-20.2833,57.55
37662,WIOCC-AS,Marseille,France,43.2951,5.3861
327700,MoRENet,,Mozambique,-18.25,35.0
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892
36874,Cybersmart,Cape Town,South Africa,-33.9258,18.4259
36874,Cybersmart,Cape Town,South Africa,-33.9258,18.4259
37100,SEACOM-AS,Cape Town,South Africa,-33.9258,18.4259
37100,SEACOM-AS,,Mauritius,-20.2833,57.55
37100,SEACOM-AS,,Mauritius,-20.2833,57.55
37100,SEACOM-AS,Maputo,Mozambique,-25.9653,32.5892
37100,SEACOM-AS,Maputo,Mozambique,-25.9653,32.5892
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892
36874,Cybersmart,Cape Town,South Africa,-33.9258,18.4259
36874,Cybersmart,,South Africa,-29.0,24.0
36874,Cybersmart,,South Africa,-29.0,24.0
36874,Cybersmart,,South Africa,-29.0,24.0
6939,Hurricane Electric LLC,,United States,37.751,-97.822
6939,Hurricane Electric LLC,,United States,37.751,-97.822
8657,Servicos De Comunicacoes E Multimedia S.A.,,Portugal,38.7139,-9.1394
8657,Servicos De Comunicacoes E Multimedia S.A.,,Portugal,38.7139,-9.1394
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,Accra,Ghana,5.5502,-0.2174
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,Accra,Ghana,5.5502,-0.2174
327947,KNUST,,Ghana,8.0,-2.0
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167
36874,Cybersmart,Cape Town,South Africa,-33.9258,18.4259
36874,Cybersmart,Cape Town,South Africa,-33.9258,18.4259
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,,Ghana,8.0,-2.0
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,,Ghana,8.0,-2.0
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174
37074,University of Ghana,,Ghana,8.0,-2.0
36874,Cybersmart,Cape Town,South Africa,-33.9258,18.4259
36874,Cybersmart,,South Africa,-29.0,24.0
36874,Cybersmart,,South Africa,-29.0,24.0
36874,Cybersmart,,South Africa,-29.0,24.0
6939,Hurricane Electric LLC,,United States,37.751,-97.822
6939,Hurricane Electric LLC,,United States,37.751,-97.822
20965,GEANT Vereniging,,United Kingdom,51.4964,-0.1224
21320,GEANT Vereniging,,United Kingdom,51.4964,-0.1224
3208,ARN,,Algeria,36.7642,3.1468
3208,ARN,,Algeria,36.7642,3.1468
36874,Cybersmart,Cape Town,South Africa,-33.9258,18.4259
36874,Cybersmart,,South Africa,-29.0,24.0
36874,Cybersmart,,South Africa,-29.0,24.0
36874,Cybersmart,,South Africa,-29.0,24.0
6939,Hurricane Electric LLC,,United States,37.751,-97.822
6939,Hurricane Electric LLC,,United States,37.751,-97.822
20965,GEANT Vereniging,,United Kingdom,51.4964,-0.1224
3208,ARN,,Algeria,36.7642,3.1468
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
30983,Moroccan Academic Network,,Morocco,32.0,-5.0
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
53589,PlanetHoster,Laval,Canada,45.578,-73.8004
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
